Название,Тикер,Биржа,Cектор,Изм.%
Delphi World Money,DELW,NSE,Финансы,"3,07"
DEN Networks Ltd,DENN,NSE,Услуги связи,"0,3"
De Nora India Ltd,DENO,NSE,Промышленность,"9,99"
Destiny Logistics Infra,DEST,NSE,Промышленность,"4,52"
Dev Information Tech,DEVN,NSE,Информационные технологии,"-0,56"
Devyani International,DEVY,NSE,Потребительский сектор,"-1,8"
DFM Foods,DFMF,NSE,Производители товаров массового потребления,"-0,91"
Dhani Services,DHAE,NSE,Финансы,"-2,92"
Dhanuka Realty,DHAU,NSE,Недвижимость,0
Dhanuka Agritech Ltd,DHNP,NSE,Материалы,"-1,27"
Dharamsi Morarji Chemical Co,DHRC,NSE,Материалы,"-1,64"
Dharani Sugars Chemicals,DHRS,NSE,Производители товаров массового потребления,0
Dhunseri Petrochem Ltd,DHUN,NSE,Финансы,"-0,09"
Dhruv Consultancy,DHUR,NSE,Промышленность,"3,12"
Dhunseri Investments Ltd,DHUS,NSE,Финансы,"0,27"
Dhunseri Tea,DHUT,NSE,Производители товаров массового потребления,"0,83"
Diamond Power Infrastructure,DIAC,NSE,Промышленность,0
Dilip Buildcon,DIBL,NSE,Промышленность,"-1,24"
DIC India Ltd,DICI,NSE,Материалы,"1,08"
Digicontent,DIGC,NSE,Услуги связи,"-1,29"
DIGJAM Ltd,DIGJ,NSE,Потребительский сектор,"-4,97"
Digispice Technologies,DIGS,NSE,Информационные технологии,"-1,86"
Diligent Media,DILG,NSE,Услуги связи,"-6,67"
Divis Laboratories,DIVI,NSE,Здравоохранение,"-1,31"
Dixon Tech,DIXO,NSE,Потребительский сектор,"-1,77"
DK Enterprises Global,DKEN,NSE,Материалы,"0,52"
DLF,DLF,NSE,Недвижимость,"-1,34"
D Link India Ltd,DLIL,NSE,Информационные технологии,"-3,63"
Dollar Industries,DLLA,NSE,Потребительский сектор,"-2,14"
Dalmia Bharat Sugar,DLMI,NSE,Производители товаров массового потребления,"-1,12"
Dr Lal PathLabs Ltd,DLPA,NSE,Здравоохранение,"-2,77"
Delta Magnets Ltd,DLTA,NSE,Промышленность,"0,89"
Dhanlaxmi Bank Limited,DNBK,NSE,Финансы,"-0,82"
Dodla Dairy,DODL,NSE,Производители товаров массового потребления,"-1,81"
Dolat Investments,DOLA,NSE,Финансы,"2,69"
Dolphin Offshore Enterprises,DOLP,NSE,Энергетика,0
Donear Industries Ltd,DONE,NSE,Потребительский сектор,"1,3"
D P Abhushan,DPAB,NSE,Потребительский сектор,"-0,81"
Deepak Fertilisers NSE,DPFE,NSE,Материалы,"-3,1"
Deepak Nitrite Ltd,DPNT,NSE,Материалы,"-0,16"
India Power Corp Ltd,DPSC,NSE,Коммунальные услуги,"-0,75"
D P Wires,DPWI,NSE,Материалы,"2,58"
DQ Entertainment International,DQEN,NSE,Услуги связи,0
DRC Systems India,DRCS,NSE,Информационные технологии,"4,2"
Dredging Corporation of India,DRDG,NSE,Промышленность,"-3,89"
Dreamfolks Services,DREM,NSE,,"-1,27"
DRS Dilip Roadlines,DRSD,NSE,Промышленность,0
Dishman Carbogen Amcis,DSHM,NSE,Здравоохранение,"-2,41"
DSJ Keep Learning,DSJK,NSE,Потребительский сектор,"-4,31"
D S Kulkarni Developers Ltd,DSKL,NSE,Недвижимость,0
Dynacons Systems Solutions,DSSL,NSE,Информационные технологии,"7,71"
Dish TV India Limited,DSTV,NSE,Услуги связи,"-4,37"
Ducon Infratech,DUCO,NSE,Информационные технологии,"3,6"
Du Digital Technologies,DUDI,NSE,Информационные технологии,"-0,23"
Dwarikesh Sugar Industries,DWAR,NSE,Производители товаров массового потребления,"-0,69"
Dynamatic Technologies,DYNM,NSE,Потребительский сектор,"-0,05"
Dynamic Services Security,DYNS,NSE,Промышленность,"-4,4"
Dynemic Products,DYPR,NSE,Материалы,"3,25"
Easy Trip Planners,EASM,NSE,Потребительский сектор,"1,79"
Easun Reyrolle Ltd,EASU,NSE,Промышленность,0
eClerx Services,ECLE,NSE,Информационные технологии,"-2,1"
Energy Development Company Ltd,EDCO,NSE,Коммунальные услуги,"-2,39"
Edelweiss Financial Services,EDEL,NSE,Финансы,"1,21"
Educomp Solutions,EDSO,NSE,Потребительский сектор,"-4,48"
E2E Networks,EENE,NSE,Информационные технологии,"-1,68"
Eicher Motors,EICH,NSE,Потребительский сектор,"0,42"
E.I.D-Parry,EIDP,NSE,Материалы,"-1,64"
EIH Associated Hotels Ltd,EIHA,NSE,Потребительский сектор,"0,78"
EIH,EIHO,NSE,Потребительский сектор,"-1,13"
Eimco Elecon India Ltd,EIMC,NSE,Промышленность,"1,22"
Everest Kanto Cylinder,EKCL,NSE,Материалы,"-4,87"
Elecon Engineering Co.Ltd,ELCN,NSE,Промышленность,"-0,87"
Elgi Equipments,ELGE,NSE,Промышленность,"-3,82"
ELGI Rubber Co Ltd,ELGT,NSE,Промышленность,"4,97"
Eldeco Housing And Ind,ELHO,NSE,Недвижимость,"1,2"
Electrosteel Castings,ELST,NSE,Промышленность,"5,54"
Electrotherm India Ltd,ELTH,NSE,Материалы,"0,25"
Emami,EMAM,NSE,Производители товаров массового потребления,"-1,71"
Emami Paper Mills,EMAP,NSE,Материалы,"2,09"
Embassy Office,EMBA,NSE,Недвижимость,"0,05"
EMCO Ltd,EMCO,NSE,Промышленность,0
Emkay Global Fin Services,EMKS,NSE,Финансы,"-2,57"
Emkay Taps And Cutting Tools Ltd,EMKY,NSE,Промышленность,"-4,4"
Emmbi Industries Ltd,EMMB,NSE,Материалы,"-1,32"
Emami Infrastructure Ltd,EMMI,NSE,Недвижимость,"-3,19"
Empyrean Cashews,EMPY,NSE,Производители товаров массового потребления,0
eMudhra,EMUD,NSE,Промышленность,"0,06"
Endurance Technologies Cn,ENDU,NSE,Потребительский сектор,"-0,2"
Engineers India,ENGI,NSE,Промышленность,"-1,24"
Entertainment Network India,ENIL,NSE,Услуги связи,"0,24"
EON Electric Ltd,EONE,NSE,Промышленность,0
EPL,EPLI,NSE,Материалы,"0,4"
Equitas Holdings,EQHL,NSE,Финансы,"1,99"
Equitas Small Finance,EQUI,NSE,Финансы,"-1,57"
Equippp Social Impact Tech,EQUP,NSE,Здравоохранение,"4,91"
Eveready Industries India Ltd,ERDY,NSE,Производители товаров массового потребления,"-1,97"
Eris Lifesciences,ERIS,NSE,Здравоохранение,"-1,87"
Eros International Media Ltd,EROS,NSE,Услуги связи,"-0,52"
Esab India,ESAB,NSE,Промышленность,"-0,63"
Escorts,ESCO,NSE,Промышленность,"-2,04"
Eastern Silk Industries Ltd,ESIL,NSE,Потребительский сектор,"-1,32"
Essar Shipping,ESPL,NSE,Энергетика,"-1,12"
Ester Industries Ltd,ESTR,NSE,Материалы,"-2,1"
Ethos,ETHO,NSE,Потребительский сектор,"0,42"
Euro Ceramics Ltd,EUCE,NSE,Промышленность,0
Euro Multivision Ltd,EUMU,NSE,Информационные технологии,0
Euro India Fresh,EURN,NSE,Производители товаров массового потребления,"2,42"
Eurotex Industries Exports,EURO,NSE,Потребительский сектор,5
Euro Panel Products,EURP,NSE,Промышленность,"-1,34"
Everest Industries Ltd,EVRI,NSE,Промышленность,"-1,45"
Excel Infoways Ltd,EXCE,NSE,Промышленность,0
Excel Industries Ltd,EXCI,NSE,Материалы,"-1,79"
Exide Industries,EXID,NSE,Потребительский сектор,"-0,45"
Expleo Solutions,EXPL,NSE,Информационные технологии,"-0,69"
Exxaro Tiles,EXXA,NSE,Промышленность,"-1,25"
Fairchem Organics,FAIH,NSE,Материалы,"6,36"
FCS Software Solutions Ltd,FCSS,NSE,Информационные технологии,0
Fertilisers Chemicals Travancore,FCTL,NSE,Материалы,"-1,38"
FDC,FDC,NSE,Здравоохранение,"-2,49"
Fedders Electric,FDEL,NSE,Промышленность,0
Foods And Inns,FDSI,NSE,Производители товаров массового потребления,"-3,05"
The Federal Bank,FED,NSE,Финансы,"-1,59"
Federal Mogul Goetze,FEDM,NSE,Потребительский сектор,"0,22"
Felix Industries,FELX,NSE,Промышленность,"4,88"
Fiberweb,FIBE,NSE,Потребительский сектор,"-1,66"
Fiem Industries Ltd,FIIN,NSE,Потребительский сектор,"4,02"
Fineotex Chemical Ltd,FINE,NSE,Материалы,"-1,6"
Fine Organic,FINO,NSE,Материалы,"-0,04"
Finolex Industries,FINX,NSE,Материалы,"-1,75"
Fino Payments Bank,FINY,NSE,Финансы,"-2,58"
Firstsource Solutions,FISO,NSE,Информационные технологии,"-0,95"
Flexi Tuff,FLEI,NSE,Материалы,"4,43"
Future Lifestyle Fashions Ltd,FLFL,NSE,Потребительский сектор,"-1,25"
Filatex India,FLTX,NSE,Потребительский сектор,"-0,64"
Future Market Networks Ltd,FMNL,NSE,Недвижимость,-1
Finolex Cables,FNXC,NSE,Промышленность,"-2,47"
Foce India,FOCE,NSE,Потребительский сектор,"0,93"
Focus Lighting,FOCS,NSE,Промышленность,"-6,25"
Fortis Healthcare (India),FOHE,NSE,Здравоохранение,"-1,49"
Force Motors,FORC,NSE,Промышленность,"-0,33"
Future Retail,FRTL,NSE,Потребительский сектор,-4
Foseco India Ltd,FSCO,NSE,Материалы,"0,25"
Fsn ECommerce Ventures,FSNE,NSE,Потребительский сектор,"-0,87"
Future Consumer,FTRE,NSE,Производители товаров массового потребления,0
Future Enterprises R,FURdv,NSE,Потребительский сектор,"-0,66"
Future Enterprises A,FURE,NSE,Потребительский сектор,0
Future Supply,FUTE,NSE,Промышленность,-5
Gabriel,GABR,NSE,Потребительский сектор,"-1,41"
GAIL Ltd,GAIL,NSE,Коммунальные услуги,"2,36"
Gujarat Alkalies and Chemicals,GALK,NSE,Материалы,"-0,01"
Gallantt Metal Ltd,GALM,NSE,Материалы,"-1,09"
Galaxy Surfactants,GALX,NSE,Материалы,"-0,8"
Gujarat Ambuja Exports,GAME,NSE,Производители товаров массового потребления,"-2,7"
Gammon India,GAMM,NSE,Промышленность,0
Ganga Forging,GANF,NSE,Материалы,"0,83"
Gangotri Textiles Ltd,GANG,NSE,Потребительский сектор,"-4,76"
Ganesha Ecosphere Ltd,GANS,NSE,Потребительский сектор,"5,39"
Gayatri Projects,GAPR,NSE,Промышленность,"-3,27"
Garware HiTech Films,GARW,NSE,Материалы,"-2,2"
Gati,GATI,NSE,Промышленность,"0,25"
Gateway Distriparks,GATW,NSE,Промышленность,"-0,14"
GB Global,GBGL,NSE,Потребительский сектор,0
Godfrey Phillips India,GDFR,NSE,Производители товаров массового потребления,"1,1"
Godawari Power Ispat Ltd,GDPI,NSE,Материалы,"-0,05"
Goldstar Power,GDST,NSE,Промышленность,"4,94"
Gandhi Special Tubes,GDTB,NSE,Материалы,"-2,29"
Goodyear India,GDYR,NSE,Потребительский сектор,"-1,22"
GeeCee Ventures Ltd,GECE,NSE,Недвижимость,"-2,05"
Geekay Wires,GEEK,NSE,Материалы,"-0,62"
Greenlam Industries Ltd-BO,GEEN,NSE,Промышленность,"-1,7"
General Insurance India,GENA,NSE,Финансы,"-1,23"
Generic Engineering,GENN,NSE,Промышленность,"-1,92"
Genesys International Corp,GENS,NSE,Информационные технологии,"4,99"
Genus Power Infrastructures,GEOE,NSE,Информационные технологии,"-1,89"
Geojit BNP Paribas,GEOJ,NSE,Финансы,"-0,69"
GE Power India,GEPO,NSE,Промышленность,"0,4"
Great Eastern Shipping,GESC,NSE,Энергетика,"-4,41"
Ge T&D India,GETD,NSE,Промышленность,"-1,16"
Genus Paper & Boards Ltd,GEUS,NSE,Материалы,"4,43"
GFL Ltd,GFLL,NSE,Услуги связи,"0,92"
Gujarat Gas,GGAS,NSE,Коммунальные услуги,"0,75"
GHCL,GHCH,NSE,Материалы,"-0,79"
Ganesh Housing Corp Ltd,GHFC,NSE,Недвижимость,"1,52"
Gillanders Arbuthnot,GIAR,NSE,Промышленность,"0,39"
GIC Housing Finance Ltd,GICH,NSE,Финансы,"-0,79"
GI Engineering Solutions Ltd,GIEN,NSE,Промышленность,0
Gillette India,GILE,NSE,Производители товаров массового потребления,"-0,46"
G R Infraprojects,GINF,NSE,Промышленность,"-1,35"
Giriraj Civil Developers,GIRI,NSE,Промышленность,0
Gujarat Apollo Industries Ltd,GJAI,NSE,Промышленность,"-0,83"
Gujarat Industries Power,GJIP,NSE,Коммунальные услуги,"-1,46"
Gujarat Raffia Industries,GJRI,NSE,Материалы,"2,34"
GKW Ltd,GKWL,NSE,Промышленность,"-0,69"
Gland,GLAD,NSE,Здравоохранение,"-1,52"
GSK Pharmaceuticals,GLAX,NSE,Здравоохранение,"-0,08"
Golden Tobacco Ltd,GLDN,NSE,Производители товаров массового потребления,"0,37"
Glenmark Life Sciences,GLEM,NSE,Здравоохранение,"1,58"
Glenmark Pharmaceuticals,GLEN,NSE,Здравоохранение,"-1,29"
Global Education,GLOL,NSE,Потребительский сектор,"4,92"
Globe International Carriers,GLOR,NSE,Промышленность,"1,43"
Globus Spirits Ltd,GLOS,NSE,Производители товаров массового потребления,-1
Globe Textiles,GLOX,NSE,Потребительский сектор,"-1,72"
Gujarat Lease Financing Ltd,GLSE,NSE,Финансы,"-3,57"
Good Luck Steel Tubes,GLST,NSE,Материалы,"-1,52"
Global Vectra Helicorp Ltd,GLVE,NSE,Энергетика,"-0,25"
G M Breweries Ltd,GMBR,NSE,Производители товаров массового потребления,"-0,38"
Gujarat Mineral Development,GMDC,NSE,Энергетика,"-0,74"
GMM Pfaudler,GMMP,NSE,Промышленность,"-2,03"
GMR Infrastructure,GMRI,NSE,Промышленность,"-1,13"
GMR Power Urban Infra,GMRP,NSE,Промышленность,"0,7"
GNA Axles,GNAA,NSE,Потребительский сектор,"-1,06"
Gujarat Narmada Valley Fert.,GNFC,NSE,Материалы,"-0,64"
Ganges Securities,GNGE,NSE,Производители товаров массового потребления,"1,76"
Ginni Filaments Ltd,GNNI,NSE,Потребительский сектор,"0,28"
Ganesh Benzoplast,GNSB,NSE,Материалы,"1,36"
Goa Carbon Ltd,GOAC,NSE,Материалы,"-2,01"
GOCL Corp,GOCL,NSE,Материалы,"-0,91"
Godrej Consumer Products,GOCP,NSE,Производители товаров массового потребления,"-0,27"
Godrej Agrovet,GODE,NSE,Производители товаров массового потребления,"-0,94"
Godha Cabcon Insulation,GODH,NSE,Промышленность,"-4,92"
Godrej Industries,GODI,NSE,Промышленность,"0,05"
Godrej Properties,GODR,NSE,Недвижимость,"-1,04"
Goenka Diamond Jewels Ltd,GOEN,NSE,Потребительский сектор,"-2,63"
Go Fashion,GOFA,NSE,Потребительский сектор,"-2,6"
Gokul Agro Resources,GOKG,NSE,Производители товаров массового потребления,"-0,12"
Gokaldas Exports Ltd,GOKL,NSE,Потребительский сектор,"-3,29"
Gokul Refoils Solvent Ltd,GOKU,NSE,Производители товаров массового потребления,"0,62"
Goldstone Technologies Ltd,GOLD,NSE,Информационные технологии,"-2,2"
Goldiam International Ltd,GOLI,NSE,Потребительский сектор,"-1,48"
Gulf Oil Lubricants India Ltd,GOLU,NSE,Материалы,"-0,59"
GP Petroleums,GPPE,NSE,Энергетика,"-2,36"
Gujarat Pipavav Port,GPPL,NSE,Промышленность,"-1,17"
GPT Infraprojects,GPTI,NSE,Промышленность,"-3,41"
Gravita India Ltd,GRAI,NSE,Материалы,"4,98"
Granules India,GRAN,NSE,Здравоохранение,"-0,69"
Grasim Industries,GRAS,NSE,Материалы,"-1,69"
Greenpanel Ind,GREP,NSE,Материалы,"0,13"
Gretex Industries,GREX,NSE,Потребительский сектор,0
Grand Foundry,GRND,NSE,Материалы,"-3,95"
Grindwell Norton Ltd,GRNN,NSE,Промышленность,"-1,71"
Graphite India,GRPH,NSE,Промышленность,"-2,05"
GRP Ltd,GRPI,NSE,Потребительский сектор,"1,68"
Greenply Industries Ltd,GRPL,NSE,Материалы,"-1,07"
Garden Reach,GRSE,NSE,Промышленность,"15,24"
Greaves Cotton,GRVL,NSE,Промышленность,"-0,06"
Garware Wall Ropes Ltd,GRWL,NSE,Потребительский сектор,"-1,67"
Grauer And Weil India,GRWN,NSE,Материалы,"-0,78"
Gujarat Sidhee Cement Ltd,GSCL,NSE,Материалы,"-0,37"
Gujarat State Fertil. & Chem.,GSFC,NSE,Материалы,"-1,32"
Gujarat State Petronet,GSPT,NSE,Коммунальные услуги,"-2,48"
GSS Infotech Ltd,GSSI,NSE,Информационные технологии,"1,8"
Gitanjali Gems,GTGM,NSE,Потребительский сектор,0
GTL,GTL,NSE,Информационные технологии,"-0,6"
GTL Infrastructure,GTLI,NSE,Услуги связи,"-3,45"
GTPL Hathway,GTPH,NSE,Услуги связи,"0,91"
Gufic Biosciences Ltd,GUFI,NSE,Здравоохранение,"-0,02"
Gujarat Fluorochemicals,GUJL,NSE,Материалы,"-0,65"
Gulshan Polyols,GULS,NSE,Материалы,"-0,3"
GVK Power & Infrastructure,GVKP,NSE,Промышленность,"-1,49"
Gayatri Highways,GYAT,NSE,Промышленность,"5,88"
Gyscoal Alloys Ltd,GYSC,NSE,Материалы,0
Hindalco Ind,HALC,NSE,Материалы,"-1,02"
Hatsun Agro Product Ltd,HAPL,NSE,Производители товаров массового потребления,"-2,98"
Happiest Minds,HAPP,NSE,Информационные технологии,"2,21"
Hariom Pipe Industries,HARO,NSE,Материалы,"-0,69"
Hardwyn India,HARW,NSE,Промышленность,"-0,39"
Hathway Cable & Datacom,HAWY,NSE,Услуги связи,"-0,61"
HBL Power Systems Ltd,HBLS,NSE,Промышленность,"4,8"
HB Stockholdings,HBSH,NSE,Финансы,"-3,36"
HCL Infosystems,HCLI,NSE,Информационные технологии,"-0,91"
HCL Tech,HCLT,NSE,Информационные технологии,"-0,75"
Hindustan Construction Company,HCNS,NSE,Промышленность,"-0,99"
Hindustan Copper Ltd,HCPR,NSE,Материалы,"-1,12"
HDFC Bank,HDBK,NSE,Финансы,"-1,24"
HDFC Asset Management,HDFA,NSE,Финансы,"-0,23"
Housing Dev Fin,HDFC,NSE,Финансы,"-1,34"
HDFC Life,HDFL,NSE,Финансы,"0,79"
Housing Development and Infra.,HDIL,NSE,Недвижимость,"-2,46"
Healthcare Global,HEAC,NSE,Здравоохранение,"-0,94"
HEC Infra Projects,HECF,NSE,Промышленность,"1,42"
Heritage Foods,HEFI,NSE,Производители товаров массового потребления,"-1,89"
HEG,HEGL,NSE,Промышленность,"-2,35"
HeidelbergCement India,HEID,NSE,Материалы,"1,16"
Hemisphere Properties India,HEML,NSE,Недвижимость,"-1,33"
Hercules Hoists Ltd,HERC,NSE,Промышленность,"7,45"
Heranba Industries,HERN,NSE,Материалы,"-0,69"
Hester Biosciences Ltd,HEST,NSE,Здравоохранение,-1
Hexa Tradex Ltd,HEXA,NSE,Промышленность,"-0,57"
HFCL,HFCL,NSE,Услуги связи,"-1,45"
Hindustan Foods,HFDS,NSE,Производители товаров массового потребления,"0,38"
Hindustan Composites,HFRD,NSE,Потребительский сектор,"-0,52"
H.G.Infra Engineering,HGIN,NSE,Промышленность,"-0,87"
Hinduja Global Solutions Ltd,HGSL,NSE,Информационные технологии,"-0,45"
Hindustan Aeronautics,HIAE,NSE,Промышленность,"-1,56"
Hindcon Chemicals,HIDN,NSE,Материалы,"4,09"
Hindware Home Innovation,HIIL,NSE,Промышленность,"-2,64"
Hikal Ltd,HIKA,NSE,Здравоохранение,"-2,19"
Hilton Metal Forging Ltd,HILT,NSE,Промышленность,"-4,95"
Himadri Speciality Chem,HIMD,NSE,Материалы,"-2,79"
Hindprakash Industries,HINP,NSE,Материалы,0
Hindustan Media Ventures Ltd,HINS,NSE,Услуги связи,"-0,86"
Hisar Metal Ind,HISR,NSE,Материалы,"-1,68"
Hi-Tech Pipes,HITC,NSE,Материалы,"-3,72"
Hitech Plast Ltd,HITE,NSE,Материалы,"1,61"
Hitachi Energy India,HITN,NSE,Промышленность,"-0,65"
HLE Glascoat,HLEG,NSE,Промышленность,"4,27"
Hindu Unilever,HLL,NSE,Производители товаров массового потребления,"-0,12"
HIL Ltd,HLLT,NSE,Материалы,"-1,16"
HLV,HLVL,NSE,Потребительский сектор,0
Himatsingka Seide,HMSD,NSE,Потребительский сектор,"-2,74"
HMT,HMTL,NSE,Промышленность,"4,99"
Hindustan Motors Ltd,HMTR,NSE,Потребительский сектор,"-4,29"
Hindusthan Nation Glass Ind,HNGI,NSE,Материалы,"-1,23"
Hindustan Oil Exploration,HOEX,NSE,Энергетика,"0,07"
Home First Finance,HOME,NSE,Финансы,"-2,15"
Honda Siel Power Products Ltd,HOND,NSE,Промышленность,"6,94"
Honeywell Automation India,HONE,NSE,Информационные технологии,"-1,87"
Hotel Rugby Ltd,HOTR,NSE,Потребительский сектор,"-2,08"
HOV Services Ltd,HOVS,NSE,Информационные технологии,"-2,33"
HP Adhesives,HPAD,NSE,Материалы,"-1,26"
Hindustan Petroleum,HPCL,NSE,Энергетика,"-1,58"
HPL Electric & Power,HPLE,NSE,Промышленность,"0,47"
Hind Rectifiers Ltd,HRCT,NSE,Промышленность,"1,73"
Harrisons Malayalam Ltd,HRMA,NSE,Производители товаров массового потребления,"-1,43"
Hero Moto,HROM,NSE,Потребительский сектор,"-2,81"
Harsha Engineers International,HRSH,NSE,,"1,31"
The Hi-Tech Gears,HTGR,NSE,Потребительский сектор,"-3,15"
HT Media,HTML,NSE,Услуги связи,"-1,74"
Hubtown,HUBT,NSE,Недвижимость,"4,98"
Housing Urban Develop,HUDC,NSE,Финансы,"0,55"
Huhtamaki PPL,HUHT,NSE,Материалы,"-1,05"
Heads UP Ventures,HUPV,NSE,Потребительский сектор,"10,83"
Havells India,HVEL,NSE,Промышленность,"-0,83"
Hindustan Zinc,HZNC,NSE,Материалы,"0,24"
Indo Borax and Chemicals,IBCH,NSE,Материалы,"-2,03"
ICICI Bank,ICBK,NSE,Финансы,"-0,12"
ICICI Securities,ICCI,NSE,Финансы,"-1,29"
ICDS,ICDS,NSE,Финансы,"2,64"
Ice Make,ICEM,NSE,Промышленность,"-0,53"
ICICI Lombard,ICIL,NSE,Финансы,"-1,82"
ICICI Prudential Life Insurance,ICIR,NSE,Финансы,"-1,59"
The India Cements Limited,ICMN,NSE,Материалы,"0,4"
Indo Count Industries,ICNT,NSE,Потребительский сектор,"-0,04"
Intl Conveyors,ICON,NSE,Промышленность,"-0,43"
ICRA Ltd,ICRA,NSE,Финансы,"3,58"
ICSA India Ltd,ICSA,NSE,Информационные технологии,0
IDBI Bank,IDBI,NSE,Финансы,"9,48"
IDFC First Bank,IDFB,NSE,Финансы,"0,66"
IDFC,IDFC,NSE,Финансы,"2,69"
Indian Card Clothing,IDIC,NSE,Потребительский сектор,"-0,14"
India Pesticides,IDIP,NSE,Материалы,"-1,82"
IFB Agro Industries Ltd,IFBA,NSE,Производители товаров массового потребления,"-0,91"
IFB Industries Ltd,IFBI,NSE,Потребительский сектор,"-1,62"
IFCI,IFCI,NSE,Финансы,"-1,94"
IFGL Refractories,IFGL,NSE,Материалы,"0,1"
Infibeam Avenues,IFIB,NSE,Информационные технологии,"-2,02"
InfoBeans Tech,IFOB,NSE,Информационные технологии,"-3,29"
Igarashi Motors India Ltd,IGAM,NSE,Потребительский сектор,"-2,51"
Indraprastha Gas,IGAS,NSE,Коммунальные услуги,"-2,67"
India Glycols Limited,IGLY,NSE,Материалы,"-1,75"
I G Petrochemicals Ltd,IGPT,NSE,Материалы,"2,09"
Inventure Growth Securities,IGSL,NSE,Финансы,"-1,75"
India Grid Trust,IGTR,NSE,Коммунальные услуги,"0,1"
Indian Hume Pipe Company Ltd,IHME,NSE,Промышленность,"-0,67"
The Indian Hotels,IHTL,NSE,Потребительский сектор,"-1,35"
Indian Energy Exchange,IIAN,NSE,Финансы,"-2,29"
IIFL Finance B,IIFL,NSE,Финансы,"-0,92"
Iifl Securities,IIFS,NSE,Финансы,"-1,58"
Iifl Wealth,IIFW,NSE,Финансы,"-1,63"
IL&FS Eng. and Construction,ILFE,NSE,Промышленность,"-0,6"
IL&FS Investment Managers,ILFS,NSE,Финансы,"-0,57"
IL FS Transportation Networks Ltd,ILFT,NSE,Промышленность,"3,41"
Imagicaaworld Entertainment Ltd,IMAW,NSE,Потребительский сектор,"-2,71"
Indbank Merchant Banking,IMBS,NSE,Финансы,"-0,21"
Indraprastha Medical,IMCL,NSE,Здравоохранение,"-0,08"
Indian Met,IMFA,NSE,Материалы,"-0,18"
Impex Ferro Tech Ltd,IMFT,NSE,Материалы,0
India Motor Parts Accessor,IMPA,NSE,Потребительский сектор,"-0,95"
IMP Powers Ltd,IMPP,NSE,Промышленность,"-2,72"
IndoStar Capital,INAC,NSE,Финансы,"1,4"
Indo Amines,INAM,NSE,Материалы,"-1,71"
Indian Bank,INBA,NSE,Финансы,-2
Indiabulls,INBF,NSE,Финансы,"-5,64"
IndusInd Bank,INBK,NSE,Финансы,"-0,31"
Incredible Industries,INCD,NSE,Материалы,"1,22"
Indigo Paints,INDG,NSE,Материалы,"-0,73"
Industrial Investment Trust,INDI,NSE,Финансы,"17,91"
Indosolar Ltd,INDL,NSE,Информационные технологии,0
Info Edge India,INED,NSE,Услуги связи,"-3,11"
Intellect Design Arena,INEE,NSE,Информационные технологии,"-0,73"
Nippon Electricals,INEL,NSE,Потребительский сектор,"-2,13"
INEOS Styrolution,INEO,NSE,Материалы,"-1,67"
Infomedia Press Ltd,INFO,NSE,Промышленность,"-1,1"
Infosys,INFY,NSE,Информационные технологии,"0,21"
Integra Garments Textiles,INGA,NSE,Производители товаров массового потребления,"0,84"
Interglobe Aviation Ltd,INGL,NSE,Промышленность,"-1,27"
Ingersoll-Rand IN,INGR,NSE,Промышленность,"2,27"
Indian Railway,INID,NSE,Финансы,"0,47"
Indian Railway Catering,INIR,NSE,Промышленность,"-0,49"
IndiaMART InterMESH,INMR,NSE,Промышленность,"-0,71"
Innovative Tyres Tubes,INNA,NSE,Потребительский сектор,-5
Indinfravit Trust,INNF,NSE,Финансы,0
Indo National Ltd,INNL,NSE,Промышленность,"-3,4"
INOX Leisure,INOL,NSE,Услуги связи,"-2,08"
Inox Wind Energy,INOX,NSE,Промышленность,5
Indiabulls Real Estate Ltd,INRL,NSE,Недвижимость,"-2,31"
Indoco Remedies Ltd,INRM,NSE,Здравоохранение,"-0,45"
Intrasoft Technologies Ltd,INSO,NSE,Потребительский сектор,"-2,79"
Inspirisys,INSP,NSE,Информационные технологии,"9,96"
Ind Swift Ltd,INSW,NSE,Здравоохранение,"-0,53"
Innovana Thinklabs,INTB,NSE,Информационные технологии,"-0,14"
Intense Tech,INTN,NSE,Информационные технологии,"0,21"
Indo Tech Transformers Ltd,INTT,NSE,Промышленность,"-0,67"
Indus Towers,INUS,NSE,Услуги связи,"-1,72"
Indowind Energy Ltd,INWI,NSE,Коммунальные услуги,"-0,36"
Inox Wind Ltd,INWN,NSE,Промышленность,"3,39"
Indian Overseas Bank,IOBK,NSE,Финансы,"-0,28"
Indian Oil Corporation,IOC,NSE,Энергетика,"0,15"
IOL Chemicals Pharmaceuticals,IOLC,NSE,Здравоохранение,"-2,04"
Ion Exchange India,IONX,NSE,Промышленность,"-0,75"
IPCA Laboratories,IPCA,NSE,Здравоохранение,"-0,58"
IRB Infrastructure Developers,IRBI,NSE,Промышленность,"-0,67"
IRB InvIT Fund,IRBN,NSE,Финансы,"0,43"
Ircon,IRCN,NSE,Промышленность,"4,64"
Iris Clothings,IRIC,NSE,Потребительский сектор,"-1,27"
IRIS Business,IRIS,NSE,Информационные технологии,"-1,45"
International Constructions,IRNA,NSE,Промышленность,5
Indo Rama Synthetics,IRSY,NSE,Потребительский сектор,"2,5"
Isgec Heavy,ISGE,NSE,Промышленность,"-0,11"
Insecticides India Ltd,ISIL,NSE,Материалы,"2,48"
Ind-Swift Laboratories,ISLB,NSE,Здравоохранение,"-0,09"
ISMT Ltd,ISMT,NSE,Материалы,"6,27"
