Название,Тикер,Биржа,Cектор,Изм.%
Alphageo India Ltd,ALPI,NSE,Энергетика,"0,74"
Alps Industries Ltd,ALPS,NSE,Потребительский сектор,"-2,08"
Almondz Global Securities Ltd,ALSL,NSE,Финансы,"-0,59"
Amara Raja Batteries,AMAR,NSE,Промышленность,"-1,04"
Amber Enterprises India,AMBE,NSE,Потребительский сектор,"-1,37"
Ambika Cotton Mills Ltd,AMBK,NSE,Потребительский сектор,"-1,17"
Ambani Organics,AMBN,NSE,Материалы,0
AMD Industries Ltd,AMDM,NSE,Материалы,"0,21"
AMI Organics,AMIO,NSE,Здравоохранение,"-1,3"
AMJ Land,AMJL,NSE,Недвижимость,"-1,2"
A and M Jumbo Bags,AMJU,NSE,Материалы,"-4,98"
Ankit Metal Power Ltd,AMPL,NSE,Материалы,"-2,5"
ADF Foods Ltd,AMRN,NSE,Производители товаров массового потребления,"0,55"
Girnar Spintex Industries,AMSP,NSE,Потребительский сектор,0
Anand Rathi Wealth,ANAA,NSE,Финансы,"-1,3"
Anjani Portland Cement,ANCM,NSE,Материалы,"-1,12"
Andhra Paper,ANDA,NSE,Материалы,"0,07"
Andhra Cements Ltd,ANDC,NSE,Материалы,-5
Andhra Sugars Ltd,ANDS,NSE,Материалы,"-0,72"
Andrew Yule,ANDY,NSE,Производители товаров массового потребления,"-0,24"
Angel One,ANGO,NSE,Финансы,"4,27"
ANI Integrated,ANII,NSE,Промышленность,0
Anik Industries Ltd,ANIK,NSE,Промышленность,"12,85"
Anmol India,ANMI,NSE,Промышленность,"-1,36"
Anant Raj Industries,ANRA,NSE,Недвижимость,"-3,3"
Ansal Housing Construction,ANSL,NSE,Недвижимость,"-5,45"
Ansal Properties & Infra.,ANSP,NSE,Недвижимость,"-4,48"
Antarctica Ltd,ANTC,NSE,Материалы,0
Antony Waste Handling,ANTO,NSE,Промышленность,"-1,61"
Anup Engineering,ANUE,NSE,Промышленность,"-0,5"
Anupam Rasayan India,ANUY,NSE,Материалы,"-0,8"
Apollo Pipes,AOLL,NSE,Промышленность,"-0,26"
Apar Industries Ltd,APAR,NSE,Промышленность,"-2,16"
Apcotex Industries Ltd,APCI,NSE,Материалы,"-0,09"
Apex Frozen Foods,APEX,NSE,Производители товаров массового потребления,"-1,66"
APL Apollo Tubes Ltd,APLA,NSE,Материалы,"-1,63"
Apollo Hospitals,APLH,NSE,Здравоохранение,"-1,48"
Apollo Micro Systems,APLL,NSE,Промышленность,"-1,62"
Apollo Tyres,APLO,NSE,Потребительский сектор,"-0,74"
Apollo Sindoori Hotels,APOS,NSE,Промышленность,10
Adani Ports & SEZ,APSE,NSE,Промышленность,"-1,27"
Aurionpro Solutions Ltd,APSL,NSE,Информационные технологии,"-1,91"
Aptech,APTA,NSE,Потребительский сектор,"6,8"
Aptus Value Housing Finance India,APTS,NSE,Финансы,"-0,79"
Aries Agro Ltd,ARAI,NSE,Материалы,"-2,17"
Aurobindo Pharma,ARBN,NSE,Здравоохранение,"-0,69"
Arihant Capital Markets,ARCM,NSE,Финансы,"0,74"
Arcotech,ARCO,NSE,Материалы,0
Archidply Decor,ARCP,NSE,Материалы,"-1,21"
Archidply Industries Ltd,ARCY,NSE,Материалы,"-1,33"
Archies Ltd,ARGG,NSE,Потребительский сектор,"2,29"
Arihant Superstructures,ARIS,NSE,Недвижимость,"-2,83"
Arman Financial,ARLF,NSE,Финансы,"-0,28"
Aro Granite Industries Ltd,AROG,NSE,Промышленность,"0,69"
Adroit Infotech,AROI,NSE,Информационные технологии,"-0,61"
Arrow Greentech,ARRO,NSE,Материалы,5
Arshiya,ARSH,NSE,Промышленность,"-3,23"
ARSS Infrastructure,ARSS,NSE,Промышленность,"-4,58"
Aarti Industries,ARTI,NSE,Материалы,"-1,14"
Art Nirman,ARTN,NSE,Недвижимость,"2,31"
Arvind Smartspaces,ARVD,NSE,Недвижимость,"-0,04"
Arvee Labs,ARVE,NSE,Материалы,"2,85"
Arvind Fashions,ARVF,NSE,Потребительский сектор,"0,93"
Arvind,ARVN,NSE,Потребительский сектор,"-1,92"
Associated Alcohols & Breweries,ASAL,NSE,Производители товаров массового потребления,"-0,04"
Automotive Stampings Assemblies,ASAS,NSE,Потребительский сектор,"-0,5"
Ascom Leasing & Investments,ASCM,NSE,Финансы,0
Asian Granito India Ltd,ASGI,NSE,Промышленность,"-0,35"
ATN International Ltd,ASGM,NSE,Финансы,0
Asian Hotels East Ltd,ASHE,NSE,Потребительский сектор,-5
Ashima Ltd,ASHL,NSE,Потребительский сектор,"-2,74"
Ashapura Minechem Ltd,ASHM,NSE,Материалы,"-0,81"
Ashapura Intimates Fashion Ltd,ASHP,NSE,Потребительский сектор,0
Asian Hotels North Ltd,ASHT,NSE,Потребительский сектор,"-0,69"
Asian Hotels West Ltd,ASHW,NSE,Потребительский сектор,0
Asian Energy Services,ASIE,NSE,Энергетика,"-1,95"
ASL Industries,ASLI,NSE,Материалы,0
Ashok Leyland,ASOK,NSE,Промышленность,"-3,6"
Aspinwall & Co,ASPI,NSE,Производители товаров массового потребления,"3,87"
Asian Paints,ASPN,NSE,Материалы,"-2,07"
Asahi Songwon Colors Lucky,ASSC,NSE,Материалы,"-1,99"
Astec Lifesciences Ltd,ASTE,NSE,Материалы,"-0,22"
Astral Ltd,ASTL,NSE,Промышленность,"-2,87"
Astra Micro Wave Products Ltd,ASTM,NSE,Информационные технологии,"-0,22"
Astron Paper,ASTO,NSE,Материалы,"-5,27"
AstraZeneca Pharma India,ASTR,NSE,Здравоохранение,"-0,1"
Atal Realtech,ATAL,NSE,Промышленность,"-1,04"
Atlas Cycles Haryana,ATCY,NSE,Потребительский сектор,0
Artemis Medicare Services,ATEM,NSE,Здравоохранение,"1,87"
Atul,ATLP,NSE,Материалы,"-1,57"
Atlanta Ltd,ATLT,NSE,Промышленность,"-4,62"
Automotive Axles,ATOA,NSE,Потребительский сектор,"-2,67"
Aster DM Healthcare,ATRD,NSE,Здравоохранение,"2,12"
Atul Auto Ltd,ATUL,NSE,Потребительский сектор,"8,38"
AU Small Finance Bank,AUFI,NSE,Финансы,"-0,75"
Autoline Industries Ltd,AUIN,NSE,Потребительский сектор,"5,09"
Aurangabad Distillery,AURA,NSE,Производители товаров массового потребления,"4,97"
Aurum Proptech,AURP,NSE,Информационные технологии,"1,46"
Ausom Enterprise Ltd,AUSM,NSE,Промышленность,"0,69"
Autolite India Ltd,AUTL,NSE,Потребительский сектор,0
Avadh Sugar Energy,AVAD,NSE,Производители товаров массового потребления,"-1,26"
Aavas Financiers,AVAS,NSE,Финансы,"-0,32"
Avenue Supermarts,AVEU,NSE,Производители товаров массового потребления,"0,07"
AVG Logistics,AVGL,NSE,Промышленность,"4,99"
Avanti Feeds,AVNT,NSE,Производители товаров массового потребления,"0,15"
Avro India,AVRI,NSE,Потребительский сектор,"0,08"
AVSL Industries,AVSL,NSE,Материалы,0
AVT Natural Products Ltd,AVTN,NSE,Производители товаров массового потребления,0
Axis Bank,AXBK,NSE,Финансы,"2,61"
AXISCADES Engineering Tech,AXIT,NSE,Промышленность,"-3,58"
AYM Syntex,AYMS,NSE,Потребительский сектор,"-2,08"
Balrampur Chini Mills,BACH,NSE,Производители товаров массового потребления,"-1,91"
Bajaj Consumer Care,BACO,NSE,Производители товаров массового потребления,"-1,68"
Bafna Pharmaceuticals,BAFP,NSE,Здравоохранение,"-2,08"
B.A.G. Films Media Ltd,BAGF,NSE,Услуги связи,"-1,68"
Bajaj Auto,BAJA,NSE,Потребительский сектор,"-0,21"
Bharat Electronics,BAJE,NSE,Промышленность,"-1,69"
Bajaj Healthcare Ltd,BAJH,NSE,Здравоохранение,"-1,56"
Banka BioLoo,BAKN,NSE,Промышленность,"-4,35"
Balkrishna Paper Mills,BALK,NSE,Материалы,"2,43"
Bal Pharma Ltd,BALP,NSE,Здравоохранение,"-0,42"
Balaxi Pharmaceuticals,BALX,NSE,Здравоохранение,"1,6"
Balaji Amines Ltd,BAMN,NSE,Материалы,"-2,27"
Banaras Beads Ltd,BANB,NSE,Потребительский сектор,"-5,83"
Bandhan Bank,BANH,NSE,Финансы,"-2,87"
Bannari Amman Sugars,BANN,NSE,Производители товаров массового потребления,"-0,7"
Bang Overseas Ltd,BANO,NSE,Потребительский сектор,"3,43"
Banswara Syntex Ltd,BANS,NSE,Потребительский сектор,"-2,55"
Bharat Dynamics,BARA,NSE,Промышленность,"-1,81"
Bartronics India Ltd,BARI,NSE,Информационные технологии,"-3,75"
Barbeque Nation Hospitality,BARQ,NSE,Потребительский сектор,"-0,87"
BASF India,BASF,NSE,Материалы,"-0,81"
Bannari Amman Spinning Mills,BASP,NSE,Потребительский сектор,"-1,9"
Bata India,BATA,NSE,Потребительский сектор,"-0,27"
Barak Valley Cements Ltd,BAVA,NSE,Материалы,"1,01"
Bayer Cropscience Ltd,BAYE,NSE,Материалы,"-1,1"
Bharat Bijlee Ltd,BBJL,NSE,Промышленность,"-1,03"
Bombay Burmah Trading,BBRM,NSE,Производители товаров массового потребления,"-0,9"
B&B Triplewall,BBTR,NSE,Материалы,0
Blue Coast Hotels,BCHO,NSE,Потребительский сектор,"4,41"
BCL Ind & Infrastructure,BCLN,NSE,Производители товаров массового потребления,"-1,17"
BC Power Controls,BCPC,NSE,Промышленность,"-1,03"
Bombay Dyeing & Mfg,BDYN,NSE,Потребительский сектор,"-1,25"
BEML,BEML,NSE,Промышленность,"-0,72"
Best Agrolife,BESA,NSE,Материалы,"0,14"
BEW Engineering,BEWE,NSE,Промышленность,"-2,27"
BF Investment Ltd,BFIN,NSE,Финансы,"-0,93"
Bharat Forge,BFRG,NSE,Потребительский сектор,"1,34"
BF Utilities,BFUT,NSE,Промышленность,"-2,35"
BGR Energy Systems,BGRE,NSE,Промышленность,"-1,49"
Bharat Gears Ltd,BGRS,NSE,Потребительский сектор,"-0,57"
Bhageria Industries,BHAE,NSE,Материалы,"-1,49"
Bhartiya International Ltd,BHAI,NSE,Потребительский сектор,"0,44"
Bhansali Eng Polymers,BHAN,NSE,Материалы,"-1,44"
Bharati Defence,BHAR,NSE,Промышленность,0
Bhagyanagar Properties,BHAY,NSE,Недвижимость,0
Bhagiradha Chemicals and Ind,BHCM,NSE,Материалы,"-1,78"
Bharat Elec.,BHEL,NSE,Промышленность,"-1,8"
Bhandari Hosiery Exports,BHEX,NSE,Потребительский сектор,"-3,54"
Bhagyanagar India,BHIL,NSE,Промышленность,"-0,54"
Bharat Road Network,BHRN,NSE,Промышленность,"0,28"
Bharatiya Global Infomedia Ltd,BHRT,NSE,Информационные технологии,0
Bharat Wire Ropes,BHWR,NSE,Материалы,"-1,54"
Bigbloc Construction,BIGB,NSE,Материалы,"-2,2"
Bil Energy Systems Ltd,BILE,NSE,Промышленность,0
Ballarpur Industries,BILT,NSE,Материалы,-4
Binani Industries Ltd,BINZ,NSE,Материалы,0
Biofil Chemicals,BIOF,NSE,Здравоохранение,"-0,69"
Biocon,BION,NSE,Здравоохранение,"-2,07"
Birlasoft,BIRS,NSE,Информационные технологии,"-3,69"
Birla Tyres,BIRT,NSE,Потребительский сектор,"4,95"
Bajaj Holdings,BJAT,NSE,Финансы,"-0,99"
Bajaj Electricals,BJEL,NSE,Потребительский сектор,"-0,24"
Bajaj Finance,BJFN,NSE,Финансы,"-0,79"
Bajaj Finserv Limited,BJFS,NSE,Финансы,-1
Bajaj Hindusthan Limited,BJHN,NSE,Производители товаров массового потребления,"-0,45"
BKM Industries,BKMI,NSE,Материалы,0
Black Box Ltd,BLAC,NSE,Информационные технологии,"11,07"
BLB Ltd,BLB,NSE,Финансы,"2,72"
Blue Blends India Ltd,BLBL,NSE,Потребительский сектор,0
Blue Chip India Ltd,BLCI,NSE,Финансы,"12,5"
Blue Dart Express,BLDT,NSE,Промышленность,"-1,09"
Bliss GVS Pharma Ltd,BLIS,NSE,Здравоохранение,"0,93"
Balkrishna Industries Ltd,BLKI,NSE,Потребительский сектор,"-0,92"
B L Kashyap Sons Ltd,BLKS,NSE,Промышленность,"1,96"
Balmer Lawrie & Company,BLMR,NSE,Промышленность,0
BLS International Services,BLSN,NSE,Информационные технологии,"-3,5"
Balaji Telefilms Limited,BLTE,NSE,Услуги связи,"-1,47"
Blue Star Infotech,BLUS,NSE,Промышленность,"0,06"
Bank Of Maharashtra,BMBK,NSE,Финансы,"-0,82"
Bedmutha Industries Ltd,BMIL,NSE,Материалы,"-3,58"
Banco Products India,BNCO,NSE,Потребительский сектор,"1,2"
Bank of Baroda,BOB,NSE,Финансы,"-2,14"
Bombay Super Hybrid Seeds,BOBA,NSE,Производители товаров массового потребления,"-4,99"
Bodal Chemicals Ltd,BODA,NSE,Материалы,"-0,23"
Bodhi Tree Multimedia,BODI,NSE,Услуги связи,0
Bohra Industries,BOHA,NSE,Материалы,0
Bank of India,BOI,NSE,Финансы,"-2,15"
Bombay Metrics Supply Chain,BOMY,NSE,Материалы,"3,19"
Borosil Renewables,BORO,NSE,Информационные технологии,"-0,15"
Borosil,BORS,NSE,Потребительский сектор,"7,51"
Bosch,BOSH,NSE,Потребительский сектор,"-0,49"
Bharat Pet.,BPCL,NSE,Энергетика,"-1,09"
BPL Ltd,BPL,NSE,Потребительский сектор,"-0,55"
Brand Concepts,BRAN,NSE,Потребительский сектор,"-0,5"
Burnpur Cement Ltd,BRCL,NSE,Материалы,"0,98"
Beardsell,BRED,NSE,Промышленность,"-4,51"
Bombay Rayon Fashions,BRFL,NSE,Потребительский сектор,"-3,7"
Bright Solar,BRGH,NSE,Промышленность,"-1,92"
Berger Paints (I),BRGR,NSE,Материалы,"-0,7"
Brigade Enterprises,BRIG,NSE,Недвижимость,"-1,87"
Brightcom,BRIH,NSE,Услуги связи,"12,13"
Britannia Industries,BRIT,NSE,Производители товаров массового потребления,"-0,18"
Birla Corporation,BRLC,NSE,Материалы,"-1,25"
Birla Cable,BRLE,NSE,Информационные технологии,"-4,18"
Brookfield India,BROF,NSE,Недвижимость,"-0,2"
